Category	ColumnName	Description	Values	VariableType
12-month Follow-up Clinical Data (Controls)	RepeatBiopsyResults_3.fu1control	Date 3 repeat biopsy result at 1-year follow up for controls	"0:No Cancer,1:Cancer"	categorical
12-month Follow-up Clinical Data (Controls)	PrProcedure.fu1control	Has the patient had any procedures for prostate problems not previously recorded? 	"0:No,1:Yes"	categorical
12-month Follow-up Clinical Data (Controls)	TURP.fu1control	Transurethral resection of the prostate 	"0:No,1:Yes"	categorical
12-month Follow-up Clinical Data (Controls)	TUIP.fu1control	Transurethral incision of the prostate 	"0:No,1:Yes"	categorical
12-month Follow-up Clinical Data (Controls)	Laser.fu1control	"Laser treatment for the prostate, including Photovaporization "	"0:No,1:Yes"	categorical
12-month Follow-up Clinical Data (Controls)	Microwave.fu1control	"Microwave or heat treatment for the prostate, such as TUNA or TUMT "	"0:No,1:Yes"	categorical
12-month Follow-up Clinical Data (Controls)	Baloon.fu1control	Balloon dilation of the prostate 	"0:No,1:Yes"	categorical
12-month Follow-up Clinical Data (Controls)	ProcedureOther.fu1control	Other procedures	"0:No,1:Yes"	categorical
12-month Follow-up Clinical Data (Controls)	ProcedureOtherDesc.fu1control	Other procedures description		character
12-month Follow-up Clinical Data (Controls)	DiagnosisAfterProcedure.fu1control	Was prostate cancer found in any of the above procedures? 	"0:No,1:Yes"	categorical
12-month Follow-up Clinical Data (Cases)	PSAval_1.fu1case	Total PSA measured on Date 1 at 1-year follow up for cases		numeric
12-month Follow-up Clinical Data (Cases)	PSAval_2.fu1case	Total PSA measured on Date 2 at 1-year follow up for cases		numeric
12-month Follow-up Clinical Data (Cases)	PSAval_3.fu1case	Total PSA measured on Date 3 at 1-year follow up for cases		numeric
12-month Follow-up Clinical Data (Cases)	PSAval_4.fu1case	Total PSA measured on Date 4 at 1-year follow up for cases		numeric
12-month Follow-up Clinical Data (Cases)	PSAval_5.fu1case	Total PSA measured on Date 5 at 1-year follow up for cases		numeric
12-month Follow-up Clinical Data (Cases)	PSAval_6.fu1case	Total PSA measured on Date 6 at 1-year follow up for cases		numeric
12-month Follow-up Clinical Data (Cases)	PSAval_7.fu1case	Total PSA measured on Date 7 at 1-year follow up for cases		numeric
12-month Follow-up Clinical Data (Cases)	PSAval_8.fu1case	Total PSA measured on Date 8 at 1-year follow up for cases		numeric
12-month Follow-up Clinical Data (Cases)	PSAval_9.fu1case	Total PSA measured on Date 9 at 1-year follow up for cases		numeric
12-month Follow-up Clinical Data (Cases)	PSADate_1.fu1case	"Date 1 (relative to date of biopsy, in days) of PSA measurement at 1-year follow up for cases"		date
12-month Follow-up Clinical Data (Cases)	PSADate_2.fu1case	"Date 2 (relative to date of biopsy, in days) of PSA measurement at 1-year follow up for cases"		date
12-month Follow-up Clinical Data (Cases)	PSADate_3.fu1case	"Date 3 (relative to date of biopsy, in days) of PSA measurement at 1-year follow up for cases"		date
12-month Follow-up Clinical Data (Cases)	PSADate_4.fu1case	"Date 4 (relative to date of biopsy, in days) of PSA measurement at 1-year follow up for cases"		date
12-month Follow-up Clinical Data (Cases)	PSADate_5.fu1case	"Date 5 (relative to date of biopsy, in days) of PSA measurement at 1-year follow up for cases"		date
12-month Follow-up Clinical Data (Cases)	PSADate_6.fu1case	"Date 6 (relative to date of biopsy, in days) of PSA measurement at 1-year follow up for cases"		date
12-month Follow-up Clinical Data (Cases)	PSADate_7.fu1case	"Date 7 (relative to date of biopsy, in days) of PSA measurement at 1-year follow up for cases"		date
12-month Follow-up Clinical Data (Cases)	PSADate_8.fu1case	"Date 8 (relative to date of biopsy, in days) of PSA measurement at 1-year follow up for cases"		date
12-month Follow-up Clinical Data (Cases)	PSADate_9.fu1case	"Date 9 (relative to date of biopsy, in days) of PSA measurement at 1-year follow up for cases"		date
12-month Follow-up Clinical Data (Cases)	DiagnosisRepeatBiopsy.fu1case	Was a patient previously classified as control diagnosed with cancer on repeat biopsy? 	"0:No,1:Yes"	categorical
12-month Follow-up Clinical Data (Cases)	PSAnotRecorded.fu1case	Has the patient had a PSA not previously recorded at 1-year follow up?	"0:No,1:Yes"	categorical
12-month Follow-up Clinical Data (Cases)	BoneScan.fu1case	Did the patient have a bone scan at 1-year follow up?	"0:No,1:Yes"	categorical
12-month Follow-up Clinical Data (Cases)	BoneScanDate.fu1case	"Date (relative to date of biopsy, in days) of bone scan at 1-year follow up"		date
12-month Follow-up Clinical Data (Cases)	BoneScanResults.fu1case	Bone scan results	1: Normal; 2: Prostate cancer metastases present; 3: Abnormal but unrelated to prostate cancer; 4: Equivocal or other; 5: NA	categorical
12-month Follow-up Clinical Data (Cases)	CTScan.fu1case	Did the patient have a CT scan at 1-year follow up? 	"0:No,1:Yes"	categorical
12-month Follow-up Clinical Data (Cases)	CTScanDate.fu1case	"Date (relative to date of biopsy, in days) of CT scan at 1-year follow up"		date
12-month Follow-up Clinical Data (Cases)	CTScanResults.fu1case	CT scan results	"1: No evidence of extraprostatic extension; 2: Extraprostatic extension, local only (e.g. seminal vesicles); 3: Extraprostatic extension (e.g. lymphadenopathy); 4: Equivocal or other; 5: NA"	categorical
12-month Follow-up Clinical Data (Cases)	MRI.fu1case	Did the patient have an MRI at 1-year follow up? 	"0:No,1:Yes"	categorical
12-month Follow-up Clinical Data (Cases)	MRIDate.fu1case	"Date (relative to date of biopsy, in days) of MRI at 1-year follow up"		date
12-month Follow-up Clinical Data (Cases)	MRIResults.fu1case	MRI results	"1: No evidence of extraprostatic extension; 2: Extraprostatic extension, local only (e.g. seminal vesicles); 3: Extraprostatic extension (e.g. lymphadenopathy); 4: Equivocal or other; 5: NA"	categorical
12-month Follow-up Prostate Cancer Treatment Details (Cases)	Treatment.fu1case	Has the patient had active treatment for prostate cancer at 1-year follow up?	"0:No,1:Yes"	categorical
12-month Follow-up Prostate Cancer Treatment Details (Cases)	TreatmentRP.fu1case	Radical Prostatectomy	"0:No,1:Yes"	categorical
12-month Follow-up Prostate Cancer Treatment Details (Cases)	TreatmentRPDate.fu1case	"Date (relative to date of biopsy, in days) of Radical Prostatectomy at 1-year follow up"		date
12-month Follow-up Prostate Cancer Treatment Details (Cases)	TreatmentER.fu1case	External Radiation	"0:No,1:Yes"	categorical
12-month Follow-up Prostate Cancer Treatment Details (Cases)	TreatmentERStart.fu1case	"Date (relative to date of biopsy, in days) of start of External Radiation at 1-year follow up"		date
12-month Follow-up Prostate Cancer Treatment Details (Cases)	TreatmentEREnd.fu1case	"Date (relative to date of biopsy, in days) of end of External Radiation at 1-year follow up"		date
12-month Follow-up Prostate Cancer Treatment Details (Cases)	TreatmentEROngoing.fu1case	Is External Radiation treatment still ongoing?	"0:No,1:Yes"	categorical
12-month Follow-up Prostate Cancer Treatment Details (Cases)	TreatmentBT.fu1case	Brachytherapy	"0:No,1:Yes"	categorical
12-month Follow-up Prostate Cancer Treatment Details (Cases)	TreatmentBTDate.fu1case	"Date (relative to date of biopsy, in days) of Brachytherapy at 1-year follow up"		date
12-month Follow-up Prostate Cancer Treatment Details (Cases)	TreatmentHT.fu1case	Hormone Therapy	"0:No,1:Yes"	categorical
12-month Follow-up Prostate Cancer Treatment Details (Cases)	TreatmentHTStart.fu1case	"Date (relative to date of biopsy, in days) of start of Hormone Therapy at 1-year follow up"		date
12-month Follow-up Prostate Cancer Treatment Details (Cases)	TreatmentHTEnd.fu1case	"Date (relative to date of biopsy, in days) of end of Hormone Therapy at 1-year follow up"		date
12-month Follow-up Prostate Cancer Treatment Details (Cases)	TreatmentHTOngoing.fu1case	Is Hormone Therapy still ongoing?	"0:No,1:Yes"	categorical
12-month Follow-up Prostate Cancer Treatment Details (Cases)	TreatmentOther.fu1case	Other Treatment	"0:No,1:Yes"	categorical
12-month Follow-up Prostate Cancer Treatment Details (Cases)	TreatmentOtherDesc.fu1case	Description of other treatment		character
12-month Follow-up Prostate Cancer Treatment Details (Cases)	TreatmentOtherDate.fu1case	"Date (relative to date of biopsy, in days) of other treatment at 1-year follow up"		date
12-month Follow-up Prostate Cancer Treatment Details (Cases)	RPMargins.fu1case	Radical Prostatectomy Margins	-: Negative; +: Positive	categorical
12-month Follow-up Prostate Cancer Treatment Details (Cases)	RPpTStage.fu1case	Radical Prostatectomy AJCC pT Stage 	1: Organ Confined; 2: Focal-extra prostatic extension; 3: Extensive extra prostatic extension; 4: Seminal Vesicle Invasion; 5: No Cancer found	categorical
12-month Follow-up Prostate Cancer Treatment Details (Cases)	RPLymphNodes.fu1case	Radical Prostatectomy Lymph Node Status	-: Negative; +: Positive; ?: Not evaluated	categorical
12-month Follow-up Prostate Cancer Treatment Details (Cases)	RPGleasonPrimary.fu1case	Radical Prostatectomy Primary Gleason Grade		numeric
12-month Follow-up Prostate Cancer Treatment Details (Cases)	RPGleasonSecondary.fu1case	Radical Prostatectomy Secondary Gleason Grade		numeric
12-month Follow-up Prostate Cancer Treatment Details (Cases)	RPGleasonTertiary.fu1case	Radical Prostatectomy Tertiary Gleason Grade		numeric
12-month Follow-up Prostate Cancer Treatment Details (Cases)	RPweight.fu1case	Radical Prostatectomy Prostate weight (grams)		numeric
12-month Follow-up Prostate Cancer Treatment Details (Cases)	RPsurgery.fu1case	Radical Prostatectomy type of surgery	1: Laparoscopic; 2: Robotic; 3:Open	categorical
12-month Follow-up Prostate Cancer Treatment Details (Cases)	RepeatBiopsy.fu1case	Has the patient had a repeat biopsy not previously recorded?	"0:No,1:Yes"	categorical
12-month Follow-up Prostate Cancer Treatment Details (Cases)	RepeatBiopsyDate_1.fu1case	"Date 1 (relative to date of biopsy, in days) of repeated biopsy at 1-year follow up for cases"		date
12-month Follow-up Prostate Cancer Treatment Details (Cases)	RepeatBiopsyResults_1.fu1case	Date 1 repeat biopsy result at 1-year follow up for cases	"0:No Cancer,1:Cancer"	categorical
12-month Follow-up Prostate Cancer Treatment Details (Cases)	RepeatBiopsyDate_2.fu1case	"Date 2 (relative to date of biopsy, in days) of repeated biopsy at 1-year follow up for cases"		date
12-month Follow-up Prostate Cancer Treatment Details (Cases)	RepeatBiopsyResults_2.fu1case	Date 2 repeat biopsy result at 1-year follow up for cases	"0:No Cancer,1:Cancer"	categorical
12-month Follow-up Prostate Cancer Treatment Details (Cases)	RepeatBiopsyDate_3.fu1case	"Date 3 (relative to date of biopsy, in days) of repeated biopsy at 1-year follow up for cases"		date
12-month Follow-up Prostate Cancer Treatment Details (Cases)	RepeatBiopsyResults_3.fu1case	Date 3 repeat biopsy result at 1-year follow up for cases	"0:No Cancer,1:Cancer"	categorical
24-month Follow-up Clinical Data (Controls)	PSAval_1.fu2control	Total PSA measured on Date 1 at 2-year follow up for controls		numeric
24-month Follow-up Clinical Data (Controls)	PSAval_2.fu2control	Total PSA measured on Date 2 at 2-year follow up for controls		numeric
24-month Follow-up Clinical Data (Controls)	PSAval_3.fu2control	Total PSA measured on Date 3 at 2-year follow up for controls		numeric
24-month Follow-up Clinical Data (Controls)	PSAval_4.fu2control	Total PSA measured on Date 4 at 2-year follow up for controls		numeric
24-month Follow-up Clinical Data (Controls)	PSAval_5.fu2control	Total PSA measured on Date 5 at 2-year follow up for controls		numeric
24-month Follow-up Clinical Data (Controls)	PSADate_1.fu2control	"Date 1 (relative to date of biopsy, in days) of PSA measurement at 2-year follow up for controls"		date
24-month Follow-up Clinical Data (Controls)	PSADate_2.fu2control	"Date 2 (relative to date of biopsy, in days) of PSA measurement at 2-year follow up for controls"		date
24-month Follow-up Clinical Data (Controls)	PSADate_3.fu2control	"Date 3 (relative to date of biopsy, in days) of PSA measurement at 2-year follow up for controls"		date
24-month Follow-up Clinical Data (Controls)	PSADate_4.fu2control	"Date 4 (relative to date of biopsy, in days) of PSA measurement at 2-year follow up for controls"		date
24-month Follow-up Clinical Data (Controls)	PSADate_5.fu2control	"Date 5 (relative to date of biopsy, in days) of PSA measurement at 2-year follow up for controls"		date
24-month Follow-up Clinical Data (Controls)	PSAnotRecorded.fu2control	Has the patient had a PSA not previously recorded?	"0:No,1:Yes"	categorical
24-month Follow-up Clinical Data (Controls)	DREDate.fu2control	"Most recent DRE date (relative to date of biopsy, in days) at 2-year follow up for controls"		
24-month Follow-up Clinical Data (Controls)	DREresults.fu2control	Most recent DRE results at 2-year follow up for controls	"1:normal,2:enlarged/benign,3:Enlarged/Asymmetry,4:Abnormal,5:Unknown/Refused"	
24-month Follow-up Clinical Data (Controls)	DREnodularity.fu2control	Amount of indulation or nodularity on most recent DRE at 2-year follow up for controls	"1:<50% right,2:>=50% right,3:<50% left,4:>=50%,5:Bilateral,6:Abnormal DRE but extent not specified,7:Other,8:None"	
24-month Follow-up Clinical Data (Controls)	DREnodularityOtherDesc.fu2control	Amount Other (Specify)		
24-month Follow-up Clinical Data (Controls)	RepeatBiopsy.fu2control	Has the patient had a repeat biopsy not previously recorded?	"0:No,1:Yes"	categorical
24-month Follow-up Clinical Data (Controls)	RepeatBiopsyDate_1.fu2control	"Date 1 (relative to date of biopsy, in days) of repeated biopsy at 2-year follow up for controls"		date
24-month Follow-up Clinical Data (Controls)	RepeatBiopsyResults_1.fu2control	Date 1 repeat biopsy result at 2-year follow up for controls	"0:No Cancer,1:Cancer"	categorical
24-month Follow-up Clinical Data (Controls)	RepeatBiopsyDate_2.fu2control	"Date 2 (relative to date of biopsy, in days) of repeated biopsy at 2-year follow up for controls"		date
24-month Follow-up Clinical Data (Controls)	RepeatBiopsyResults_2.fu2control	Date 2 repeat biopsy result at 2-year follow up for controls	"0:No Cancer,1:Cancer"	categorical
24-month Follow-up Clinical Data (Controls)	RepeatBiopsyDate_3.fu2control	"Date 3 (relative to date of biopsy, in days) of repeated biopsy at 2-year follow up for controls"		date
24-month Follow-up Clinical Data (Controls)	RepeatBiopsyResults_3.fu2control	Date 3 repeat biopsy result at 2-year follow up for controls	"0:No Cancer,1:Cancer"	categorical
24-month Follow-up Clinical Data (Controls)	PrProcedure.fu2control	Has the patient had any procedures for prostate problems not previously recorded? 	"0:No,1:Yes"	categorical
24-month Follow-up Clinical Data (Controls)	TURP.fu2control	Transurethral resection of the prostate 	"0:No,1:Yes"	categorical
24-month Follow-up Clinical Data (Controls)	TUIP.fu2control	Transurethral incision of the prostate 	"0:No,1:Yes"	categorical
24-month Follow-up Clinical Data (Controls)	Laser.fu2control	"Laser treatment for the prostate, including Photovaporization "	"0:No,1:Yes"	categorical
24-month Follow-up Clinical Data (Controls)	Microwave.fu2control	"Microwave or heat treatment for the prostate, such as TUNA or TUMT "	"0:No,1:Yes"	categorical
24-month Follow-up Clinical Data (Controls)	Baloon.fu2control	Balloon dilation of the prostate 	"0:No,1:Yes"	categorical
24-month Follow-up Clinical Data (Controls)	ProcedureOther.fu2control	Other procedures	"0:No,1:Yes"	categorical
24-month Follow-up Clinical Data (Controls)	ProcedureOtherDesc.fu2control	Other procedures description		character
24-month Follow-up Clinical Data (Controls)	DiagnosisAfterProcedure.fu2control	Was prostate cancer found in any of the above procedures? 	"0:No,1:Yes"	categorical
24-month Follow-up Clinical Data (Cases)	PSAval_1.fu2case	Total PSA measured on Date 1 at 2-year follow up for cases		numeric
24-month Follow-up Clinical Data (Cases)	PSAval_2.fu2case	Total PSA measured on Date 2 at 2-year follow up for cases		numeric
24-month Follow-up Clinical Data (Cases)	PSAval_3.fu2case	Total PSA measured on Date 3 at 2-year follow up for cases		numeric
24-month Follow-up Clinical Data (Cases)	PSAval_4.fu2case	Total PSA measured on Date 4 at 2-year follow up for cases		numeric
24-month Follow-up Clinical Data (Cases)	PSAval_5.fu2case	Total PSA measured on Date 5 at 2-year follow up for cases		numeric
24-month Follow-up Clinical Data (Cases)	PSADate_1.fu2case	"Date 1 (relative to date of biopsy, in days) of PSA measurement at 2-year follow up for cases"		date
24-month Follow-up Clinical Data (Cases)	PSADate_2.fu2case	"Date 2 (relative to date of biopsy, in days) of PSA measurement at 2-year follow up for cases"		date
24-month Follow-up Clinical Data (Cases)	PSADate_3.fu2case	"Date 3 (relative to date of biopsy, in days) of PSA measurement at 2-year follow up for cases"		date
24-month Follow-up Clinical Data (Cases)	PSADate_4.fu2case	"Date 4 (relative to date of biopsy, in days) of PSA measurement at 2-year follow up for cases"		date
24-month Follow-up Clinical Data (Cases)	PSADate_5.fu2case	"Date 5 (relative to date of biopsy, in days) of PSA measurement at 2-year follow up for cases"		date
24-month Follow-up Clinical Data (Cases)	DiagnosisRepeatBiopsy.fu2case	Was a patient previously classified as control diagnosed with cancer on repeat biopsy? 	"0:No,1:Yes"	categorical
24-month Follow-up Clinical Data (Cases)	PSAnotRecorded.fu2case	Has the patient had a PSA not previously recorded at 2-year follow up?	"0:No,1:Yes"	categorical
24-month Follow-up Clinical Data (Cases)	BoneScan.fu2case	Did the patient have a bone scan at 2-year follow up?	"0:No,1:Yes"	categorical
24-month Follow-up Clinical Data (Cases)	BoneScanDate.fu2case	"Date (relative to date of biopsy, in days) of bone scan at 2-year follow up"		date
24-month Follow-up Clinical Data (Cases)	BoneScanResults.fu2case	Bone scan results	1: Normal; 2: Prostate cancer metastases present; 3: Abnormal but unrelated to prostate cancer; 4: Equivocal or other; 5: NA	categorical
24-month Follow-up Clinical Data (Cases)	CTScan.fu2case	Did the patient have a CT scan at 2-year follow up? 	"0:No,1:Yes"	categorical
24-month Follow-up Clinical Data (Cases)	CTScanDate.fu2case	"Date (relative to date of biopsy, in days) of CT scan at 2-year follow up"		date
24-month Follow-up Clinical Data (Cases)	CTScanResults.fu2case	CT scan results	"1: No evidence of extraprostatic extension; 2: Extraprostatic extension, local only (e.g. seminal vesicles); 3: Extraprostatic extension (e.g. lymphadenopathy); 4: Equivocal or other; 5: NA"	categorical
24-month Follow-up Clinical Data (Cases)	MRI.fu2case	Did the patient have an MRI at 2-year follow up? 	"0:No,1:Yes"	categorical
24-month Follow-up Clinical Data (Cases)	MRIDate.fu2case	"Date (relative to date of biopsy, in days) of MRI at 2-year follow up"		date
24-month Follow-up Clinical Data (Cases)	MRIResults.fu2case	MRI results	"1: No evidence of extraprostatic extension; 2: Extraprostatic extension, local only (e.g. seminal vesicles); 3: Extraprostatic extension (e.g. lymphadenopathy); 4: Equivocal or other; 5: NA"	categorical
24-month Follow-up Prostate Cancer Treatment Details (Cases)	Treatment.fu2case	Has the patient had active treatment for prostate cancer at 2-year follow up?	"0:No,1:Yes"	categorical
24-month Follow-up Prostate Cancer Treatment Details (Cases)	TreatmentRP.fu2case	Radical Prostatectomy	"0:No,1:Yes"	categorical
24-month Follow-up Prostate Cancer Treatment Details (Cases)	TreatmentRPDate.fu2case	"Date (relative to date of biopsy, in days) of Radical Prostatectomy at 2-year follow up"		date
24-month Follow-up Prostate Cancer Treatment Details (Cases)	TreatmentER.fu2case	External Radiation	"0:No,1:Yes"	categorical
24-month Follow-up Prostate Cancer Treatment Details (Cases)	TreatmentERStart.fu2case	"Date (relative to date of biopsy, in days) of start of External Radiation at 2-year follow up"		date
24-month Follow-up Prostate Cancer Treatment Details (Cases)	TreatmentEREnd.fu2case	"Date (relative to date of biopsy, in days) of end of External Radiation at 2-year follow up"		date
24-month Follow-up Prostate Cancer Treatment Details (Cases)	TreatmentEROngoing.fu2case	Is External Radiation treatment still ongoing?	"0:No,1:Yes"	categorical
24-month Follow-up Prostate Cancer Treatment Details (Cases)	TreatmentBT.fu2case	Brachytherapy	"0:No,1:Yes"	categorical
24-month Follow-up Prostate Cancer Treatment Details (Cases)	TreatmentBTDate.fu2case	"Date (relative to date of biopsy, in days) of Brachytherapy at 2-year follow up"		date
24-month Follow-up Prostate Cancer Treatment Details (Cases)	TreatmentHT.fu2case	Hormone Therapy	"0:No,1:Yes"	categorical
24-month Follow-up Prostate Cancer Treatment Details (Cases)	TreatmentHTStart.fu2case	"Date (relative to date of biopsy, in days) of start of Hormone Therapy at 2-year follow up"		date
24-month Follow-up Prostate Cancer Treatment Details (Cases)	TreatmentHTEnd.fu2case	"Date (relative to date of biopsy, in days) of end of Hormone Therapy at 2-year follow up"		date
24-month Follow-up Prostate Cancer Treatment Details (Cases)	TreatmentHTOngoing.fu2case	Is Hormone Therapy still ongoing?	"0:No,1:Yes"	categorical
24-month Follow-up Prostate Cancer Treatment Details (Cases)	TreatmentOther.fu2case	Other Treatment	"0:No,1:Yes"	categorical
24-month Follow-up Prostate Cancer Treatment Details (Cases)	TreatmentOtherDesc.fu2case	Description of other treatment		character
24-month Follow-up Prostate Cancer Treatment Details (Cases)	TreatmentOtherDate.fu2case	"Date (relative to date of biopsy, in days) of other treatment at 2-year follow up"		date
24-month Follow-up Prostate Cancer Treatment Details (Cases)	RPMargins.fu2case	Radical Prostatectomy Margins	-: Negative; +: Positive	categorical
24-month Follow-up Prostate Cancer Treatment Details (Cases)	RPpTStage.fu2case	Radical Prostatectomy AJCC pT Stage 	1: Organ Confined; 2: Focal-extra prostatic extension; 3: Extensive extra prostatic extension; 4: Seminal Vesicle Invasion; 5: No Cancer found	categorical
24-month Follow-up Prostate Cancer Treatment Details (Cases)	RPLymphNodes.fu2case	Radical Prostatectomy Lymph Node Status	-: Negative; +: Positive; ?: Not evaluated	categorical
24-month Follow-up Prostate Cancer Treatment Details (Cases)	RPGleasonPrimary.fu2case	Radical Prostatectomy Primary Gleason Grade		numeric
24-month Follow-up Prostate Cancer Treatment Details (Cases)	RPGleasonSecondary.fu2case	Radical Prostatectomy Secondary Gleason Grade		numeric
24-month Follow-up Prostate Cancer Treatment Details (Cases)	RPGleasonTertiary.fu2case	Radical Prostatectomy Tertiary Gleason Grade		numeric
24-month Follow-up Prostate Cancer Treatment Details (Cases)	RPweight.fu2case	Radical Prostatectomy Prostate weight (grams)		numeric
24-month Follow-up Prostate Cancer Treatment Details (Cases)	RPsurgery.fu2case	Radical Prostatectomy type of surgery	1: Laparoscopic; 2: Robotic; 3:Open	categorical
24-month Follow-up Prostate Cancer Treatment Details (Cases)	RepeatBiopsy.fu2case	Has the patient had a repeat biopsy not previously recorded?	"0:No,1:Yes"	categorical
24-month Follow-up Prostate Cancer Treatment Details (Cases)	RepeatBiopsyDate_1.fu2case	"Date 1 (relative to date of biopsy, in days) of repeated biopsy at 2-year follow up for cases"		date
24-month Follow-up Prostate Cancer Treatment Details (Cases)	RepeatBiopsyResults_1.fu2case	Date 1 repeat biopsy result at 2-year follow up for cases	"0:No Cancer,1:Cancer"	categorical
24-month Follow-up Prostate Cancer Treatment Details (Cases)	RepeatBiopsyDate_2.fu2case	"Date 2 (relative to date of biopsy, in days) of repeated biopsy at 2-year follow up for cases"		date
24-month Follow-up Prostate Cancer Treatment Details (Cases)	RepeatBiopsyResults_2.fu2case	Date 2 repeat biopsy result at 2-year follow up for cases	"0:No Cancer,1:Cancer"	categorical
24-month Follow-up Prostate Cancer Treatment Details (Cases)	RepeatBiopsyDate_3.fu2case	"Date 3 (relative to date of biopsy, in days) of repeated biopsy at 2-year follow up for cases"		date
24-month Follow-up Prostate Cancer Treatment Details (Cases)	RepeatBiopsyResults_3.fu2case	Date 3 repeat biopsy result at 2-year follow up for cases	"0:No Cancer,1:Cancer"	categorical
24-month Follow-up Prostate Cancer Treatment Details (Cases)	BiopsyDate2.RB	"Date (relative to date of biopsy, in days) of repeat biopsy"		date
24-month Follow-up Prostate Cancer Treatment Details (Cases)	Diagnosis.RB	Prostate Cancer diagnosis based on repeat biopsy	"0:No,1:Yes"	categorical
24-month Follow-up Prostate Cancer Treatment Details (Cases)	BiopsyCoreLeft2.RB	Number of left cores involved in repeat biopsy		numeric
24-month Follow-up Prostate Cancer Treatment Details (Cases)	BiopsyCoreRight2.RB	Number of right cores involved in repeat biopsy		numeric
24-month Follow-up Prostate Cancer Treatment Details (Cases)	GleasonPrimary.RB	Primary Gleason Grade in repeat biopsy		numeric
24-month Follow-up Prostate Cancer Treatment Details (Cases)	GleasonSecondary.RB	Secondary Gleason Grade in repeat biopsy		numeric
24-month Follow-up Prostate Cancer Treatment Details (Cases)	GleasonTotal.RB	Overall Gleason Grade in repeat biopsy		numeric
24-month Follow-up Prostate Cancer Treatment Details (Cases)	BiopsyComments2.RB	Comments (e.g. unusual histology or treatment effect)		character
24-month Follow-up Prostate Cancer Treatment Details (Cases)	Tstage.RB	T-stage of repeat biopsy		categorical
24-month Follow-up Prostate Cancer Treatment Details (Cases)	Nstage.RB	N-stage of repeat biopsy		categorical
24-month Follow-up Prostate Cancer Treatment Details (Cases)	Mstage.RB	M-stage of repeat biopsy		categorical
24-month Follow-up Prostate Cancer Treatment Details (Cases)	CoresOver12.RB	Number of additional cores (if >12) of repeat biopsy		numeric
24-month Follow-up Prostate Cancer Treatment Details (Cases)	ControlHGPIN.RB	High Grade PIN present in repeat biopsy?	"0:No,1:Yes,2:Not Collected"	categorical
24-month Follow-up Prostate Cancer Treatment Details (Cases)	ControlInflammation.RB	Inflammation present in repeat biopsy?	"0:No,1:Yes,2:Not Collected"	categorical
24-month Follow-up Prostate Cancer Treatment Details (Cases)	ControlASAP.RB	Atypical Small Acinar Proliferation present in repeat biopsy?	"0:No,1:Yes,2:Not Collected"	categorical
24-month Follow-up Prostate Cancer Treatment Details (Cases)	ControlAtypia.RB	Atypia/Suspiciouspresent in repeat biopsy?	"0:No,1:Yes,2:Not Collected"	categorical
24-month Follow-up Prostate Cancer Treatment Details (Cases)	ControlAtrophy.RB	Atrophy present in repeat biopsy?	"0:No,1:Yes,2:Not Collected"	categorical
